Year,TeamAbv,TeamName,3P,3PA,3P%,2P,2PA,2P%,TOTAL_3P,TOTAL_3PA,TOTAL_2P,TOTAL_2PA
2008,MIL,Milwaukee Bucks,15.000,44.833,0.119,180.000,368.500,0.489,90.000,269.000,1080.000,2211.000
2008,MIN,Minnesota Timberwolves,5.333,19.333,0.108,191.333,385.667,0.419,32.000,116.000,1148.000,2314.000
2008,NOP,New Orleans Pelicans,1.600,7.400,0.147,203.400,408.800,0.500,8.000,37.000,1017.000,2044.000
2008,NYK,New York Knicks,0.000,1.000,0.000,175.667,319.333,0.642,0.000,3.000,527.000,958.000
2008,OKC,Oklahoma City Thunder,16.000,41.500,0.195,146.333,296.000,0.590,96.000,249.000,878.000,1776.000
2008,ORL,Orlando Magic,55.750,141.500,0.405,269.750,503.000,0.529,223.000,566.000,1079.000,2012.000
2008,PHI,Philadelphia 76ers,11.857,32.857,0.209,167.000,335.143,0.486,83.000,230.000,1169.000,2346.000
2008,PHX,Phoenix Suns,24.000,70.200,0.154,257.200,460.000,0.543,120.000,351.000,1286.000,2300.000
2008,POR,Portland Trail Blazers,3.167,10.500,0.396,178.500,347.833,0.497,19.000,63.000,1071.000,2087.000
2008,SAC,Sacramento Kings,13.333,41.000,0.174,230.667,467.333,0.454,40.000,123.000,692.000,1402.000
2008,SAS,San Antonio Spurs,21.167,52.333,0.132,155.333,300.667,0.596,127.000,314.000,932.000,1804.000
2008,TOR,Toronto Raptors,32.750,85.000,0.327,232.000,482.500,0.371,131.000,340.000,928.000,1930.000
2008,UTA,Utah Jazz,15.714,39.857,0.240,194.143,385.143,0.507,110.000,279.000,1359.000,2696.000
2008,WAS,Washington Wizards,18.714,54.857,0.229,195.571,392.571,0.486,131.000,384.000,1369.000,2748.000
2010,ATL,Atlanta Hawks,9.000,26.667,0.458,200.167,389.000,0.487,54.000,160.000,1201.000,2334.000
2010,BKN,Brooklyn Nets,0.000,2.000,0.000,360.000,725.333,0.490,0.000,6.000,1080.000,2176.000
2010,BOS,Boston Celtics,0.750,5.250,0.111,243.500,478.000,0.528,3.000,21.000,974.000,1912.000
2010,CHA,Charlotte Hornets,17.800,52.600,0.223,135.200,262.600,0.455,89.000,263.000,676.000,1313.000
2010,CHI,Chicago Bulls,0.333,2.500,0.281,176.167,346.667,0.547,2.000,15.000,1057.000,2080.000
2010,CLE,Cleveland Cavaliers,18.200,54.600,0.086,213.400,443.000,0.503,91.000,273.000,1067.000,2215.000
2010,DAL,Dallas Mavericks,16.500,42.750,0.131,248.250,434.000,0.586,66.000,171.000,993.000,1736.000
2010,DEN,Denver Nuggets,24.000,68.600,0.195,171.600,307.200,0.552,120.000,343.000,858.000,1536.000
2010,DET,Detroit Pistons,25.200,65.400,0.222,167.400,318.200,0.513,126.000,327.000,837.000,1591.000
2010,GSW,Golden State Warriors,11.833,29.333,0.369,151.167,307.500,0.470,71.000,176.000,907.000,1845.000
2010,HOU,Houston Rockets,5.714,16.571,0.075,178.286,347.714,0.509,40.000,116.000,1248.000,2434.000
2010,IND,Indiana Pacers,4.600,14.000,0.077,202.400,421.400,0.480,23.000,70.000,1012.000,2107.000
2010,LAC,Los Angeles Clippers,6.833,18.167,0.180,220.833,415.000,0.536,41.000,109.000,1325.000,2490.000
2010,LAL,Los Angeles Lakers,13.800,36.200,0.358,253.400,463.400,0.464,69.000,181.000,1267.000,2317.000
2010,MEM,Memphis Grizzlies,2.750,14.250,0.154,322.750,626.000,0.518,11.000,57.000,1291.000,2504.000
2010,MIA,Miami Heat,0.750,3.375,0.080,112.250,221.500,0.502,6.000,27.000,898.000,1772.000
2010,MIL,Milwaukee Bucks,5.571,21.714,0.112,152.429,321.286,0.473,39.000,152.000,1067.000,2249.000
2010,MIN,Minnesota Timberwolves,29.333,70.333,0.417,267.000,552.000,0.490,88.000,211.000,801.000,1656.000
2010,NOP,New Orleans Pelicans,0.333,2.000,0.074,173.667,335.000,0.483,2.000,12.000,1042.000,2010.000
2010,NYK,New York Knicks,44.500,118.500,0.394,261.000,516.250,0.516,178.000,474.000,1044.000,2065.000
2010,OKC,Oklahoma City Thunder,11.200,37.000,0.152,140.600,267.000,0.491,56.000,185.000,703.000,1335.000
2010,ORL,Orlando Magic,33.500,87.500,0.131,263.500,473.750,0.492,134.000,350.000,1054.000,1895.000
2010,PHI,Philadelphia 76ers,2.571,10.286,0.239,200.857,391.714,0.476,18.000,72.000,1406.000,2742.000
2010,PHX,Phoenix Suns,35.500,91.167,0.301,109.000,218.167,0.502,213.000,547.000,654.000,1309.000
2010,POR,Portland Trail Blazers,6.600,21.200,0.378,189.400,384.200,0.495,33.000,106.000,947.000,1921.000
2010,SAC,Sacramento Kings,1.200,6.800,0.110,208.400,445.800,0.481,6.000,34.000,1042.000,2229.000
2010,SAS,San Antonio Spurs,21.000,47.600,0.091,209.600,417.800,0.501,105.000,238.000,1048.000,2089.000
2010,TOR,Toronto Raptors,12.833,37.500,0.115,173.500,338.833,0.459,77.000,225.000,1041.000,2033.000
2010,UTA,Utah Jazz,2.333,6.667,0.235,214.500,424.167,0.498,14.000,40.000,1287.000,2545.000
2010,WAS,Washington Wizards,1.167,5.833,0.113,184.167,379.667,0.538,7.000,35.000,1105.000,2278.000
2012,ATL,Atlanta Hawks,11.000,38.000,0.188,246.167,478.000,0.496,66.000,228.000,1477.000,2868.000
2012,BKN,Brooklyn Nets,8.000,26.600,0.120,242.200,478.600,0.484,40.000,133.000,1211.000,2393.000
2012,BOS,Boston Celtics,8.111,22.889,0.142,141.667,277.222,0.479,73.000,206.000,1275.000,2495.000
2012,CHA,Charlotte Hornets,11.500,36.667,0.138,87.500,206.000,0.400,69.000,220.000,525.000,1236.000
2012,CHI,Chicago Bulls,1.000,8.000,0.037,227.000,478.800,0.465,5.000,40.000,1135.000,2394.000
2012,CLE,Cleveland Cavaliers,3.333,13.333,0.060,148.167,319.167,0.440,20.000,80.000,889.000,1915.000
2012,DAL,Dallas Mavericks,12.375,34.000,0.149,182.250,352.125,0.507,99.000,272.000,1458.000,2817.000
2012,DEN,Denver Nuggets,7.571,19.857,0.236,177.000,321.857,0.514,53.000,139.000,1239.000,2253.000
2012,DET,Detroit Pistons,19.333,58.000,0.287,193.333,389.167,0.529,116.000,348.000,1160.000,2335.000
2012,GSW,Golden State Warriors,0.400,1.600,0.444,218.400,425.600,0.485,2.000,8.000,1092.000,2128.000
2012,HOU,Houston Rockets,5.800,20.800,0.138,122.800,218.800,0.513,29.000,104.000,614.000,1094.000
2012,IND,Indiana Pacers,1.167,5.333,0.192,211.833,453.167,0.428,7.000,32.000,1271.000,2719.000
2012,LAC,Los Angeles Clippers,3.833,19.667,0.190,189.000,337.167,0.504,23.000,118.000,1134.000,2023.000
2012,LAL,Los Angeles Lakers,21.333,62.167,0.230,190.667,363.833,0.491,128.000,373.000,1144.000,2183.000
2012,MEM,Memphis Grizzlies,2.667,18.333,0.145,351.333,732.333,0.477,8.000,55.000,1054.000,2197.000
2012,MIA,Miami Heat,22.250,58.375,0.389,178.000,314.125,0.560,178.000,467.000,1424.000,2513.000
2012,MIL,Milwaukee Bucks,13.857,32.286,0.274,145.286,300.714,0.433,97.000,226.000,1017.000,2105.000
2012,MIN,Minnesota Timberwolves,14.167,49.000,0.183,205.333,425.833,0.494,85.000,294.000,1232.000,2555.000
2012,NOP,New Orleans Pelicans,42.600,113.400,0.127,232.200,457.400,0.536,213.000,567.000,1161.000,2287.000
2012,NYK,New York Knicks,26.556,69.333,0.530,132.667,253.778,0.457,239.000,624.000,1194.000,2284.000
2012,OKC,Oklahoma City Thunder,4.000,12.400,0.117,164.200,291.400,0.544,20.000,62.000,821.000,1457.000
2012,ORL,Orlando Magic,5.833,20.500,0.115,199.500,396.833,0.492,35.000,123.000,1197.000,2381.000
2012,PHI,Philadelphia 76ers,6.400,19.200,0.160,230.800,459.600,0.502,32.000,96.000,1154.000,2298.000
2012,PHX,Phoenix Suns,9.800,31.600,0.181,226.400,474.600,0.458,49.000,158.000,1132.000,2373.000
2012,POR,Portland Trail Blazers,11.167,33.833,0.184,216.667,427.667,0.457,67.000,203.000,1300.000,2566.000
2012,SAC,Sacramento Kings,1.333,8.667,0.061,312.000,648.333,0.473,4.000,26.000,936.000,1945.000
2012,SAS,San Antonio Spurs,14.167,34.833,0.185,195.167,366.500,0.538,85.000,209.000,1171.000,2199.000
2012,TOR,Toronto Raptors,8.800,27.600,0.398,151.200,285.000,0.529,44.000,138.000,756.000,1425.000
2012,UTA,Utah Jazz,3.200,12.600,0.290,306.200,607.800,0.531,16.000,63.000,1531.000,3039.000
2012,WAS,Washington Wizards,1.167,7.167,0.049,198.833,421.500,0.473,7.000,43.000,1193.000,2529.000
2014,ATL,Atlanta Hawks,35.833,106.667,0.286,196.833,375.000,0.509,215.000,640.000,1181.000,2250.000
2014,BKN,Brooklyn Nets,11.500,39.167,0.168,162.500,308.500,0.503,69.000,235.000,975.000,1851.000
2014,BOS,Boston Celtics,30.500,97.750,0.304,281.000,536.750,0.524,122.000,391.000,1124.000,2147.000
2014,CHA,Charlotte Hornets,17.167,47.333,0.536,162.833,341.333,0.467,103.000,284.000,977.000,2048.000
